"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.703425650E-1,-2.290742937E-3,-2.290742937E-3,1.069013379E-3,3.411421407E-3
5.724976690E-1,-2.290742937E-3,-1.069013379E-3,1.069013379E-3,2.744646136E-3
5.746527730E-1,-1.069013379E-3,-1.069013379E-3,-1.527161949E-4,1.519506974E-3
5.768078770E-1,-1.069013379E-3,-3.512472380E-3,-1.527161949E-4,3.674720950E-3
5.789629810E-1,1.527161949E-4,1.527161949E-4,1.069013379E-3,1.090611790E-3
5.811180850E-1,1.374445739E-3,2.596175298E-3,-1.527161949E-4,2.941521631E-3
5.832732420E-1,-1.069013379E-3,-1.069013379E-3,1.069013379E-3,1.851585486E-3
5.854282940E-1,-1.069013379E-3,-1.069013379E-3,1.069013379E-3,1.851585486E-3
5.875833980E-1,1.527161949E-4,1.374445739E-3,-1.527161949E-4,1.391310735E-3
5.897385540E-1,-1.069013379E-3,-2.290742937E-3,-1.527161949E-4,2.532511608E-3
5.918936060E-1,-1.069013379E-3,-1.069013379E-3,1.069013379E-3,1.851585486E-3
5.940487100E-1,1.527161949E-4,2.596175298E-3,-1.527161949E-4,2.605143115E-3
5.962038150E-1,1.374445739E-3,1.374445739E-3,-1.527161949E-4,1.949749834E-3
5.983589710E-1,1.527161949E-4,-2.290742937E-3,1.069013379E-3,2.532511608E-3
6.005140750E-1,2.596175298E-3,5.039634649E-3,-1.527161949E-4,5.671099171E-3
6.026691790E-1,-1.069013379E-3,1.374445739E-3,-1.374445739E-3,2.218330855E-3
6.048242830E-1,1.527161949E-4,-1.069013379E-3,-1.527161949E-4,1.090611790E-3
6.069793870E-1,-1.069013379E-3,1.527161949E-4,1.069013379E-3,1.519506974E-3
6.091344920E-1,1.527161949E-4,1.374445739E-3,-1.527161949E-4,1.391310735E-3
6.112895960E-1,-3.512472380E-3,-5.955931731E-3,-1.527161949E-4,6.916206130E-3
6.134447000E-1,-1.069013379E-3,1.527161949E-4,1.069013379E-3,1.519506974E-3
6.155998040E-1,1.527161949E-4,-2.290742937E-3,1.069013379E-3,2.532511608E-3
6.177549080E-1,1.527161949E-4,-4.734201822E-3,-1.527161949E-4,4.739125591E-3
6.199100120E-1,1.374445739E-3,1.527161949E-4,-1.527161949E-4,1.391310735E-3
6.220651170E-1,1.374445739E-3,1.527161949E-4,-1.527161949E-4,1.391310735E-3
6.242202730E-1,1.374445739E-3,1.374445739E-3,-1.527161949E-4,1.949749834E-3
6.263753770E-1,-1.069013379E-3,-2.290742937E-3,-1.374445739E-3,2.877393595E-3
6.285304290E-1,-1.069013379E-3,1.527161949E-4,-1.527161949E-4,1.090611790E-3
6.306855330E-1,1.374445739E-3,2.596175298E-3,1.069013379E-3,3.126022532E-3
6.328406900E-1,1.527161949E-4,-1.069013379E-3,1.069013379E-3,1.519506974E-3
6.349957940E-1,-2.290742937E-3,-5.955931731E-3,1.069013379E-3,6.470194401E-3
6.371508980E-1,-1.069013379E-3,-3.512472380E-3,1.069013379E-3,3.824008555E-3
6.393060020E-1,-2.290742937E-3,-3.512472380E-3,-1.527161949E-4,4.196223023E-3
6.414611060E-1,1.374445739E-3,3.817904973E-3,1.069013379E-3,4.196223192E-3
6.436162100E-1,1.527161949E-4,6.261364091E-3,-1.527161949E-4,6.265087769E-3
6.457713150E-1,-1.069013379E-3,1.374445739E-3,-1.527161949E-4,1.747916740E-3
