"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.807388130E-1,1.527161949E-4,6.719512399E-3,6.108647794E-4,6.748949911E-3
4.828940730E-1,-1.069013379E-3,3.054323839E-3,-6.108647794E-4,3.293150391E-3
4.850493860E-1,-3.512472380E-3,1.832594397E-3,6.108647794E-4,4.008618243E-3
4.872046460E-1,-2.290742937E-3,3.054323839E-3,-1.832594397E-3,4.234949768E-3
4.893599070E-1,-2.290742937E-3,1.832594397E-3,-6.108647794E-4,2.996508169E-3
4.915151670E-1,1.527161949E-4,-6.108647794E-4,6.108647794E-4,8.772877485E-4
4.936704800E-1,1.527161949E-4,3.054323839E-3,6.108647794E-4,3.118552890E-3
4.958257400E-1,1.527161949E-4,6.108647794E-4,6.108647794E-4,8.772877485E-4
4.979810000E-1,1.374445739E-3,4.276053514E-3,-6.108647794E-4,4.532867804E-3
5.001362610E-1,1.527161949E-4,5.497782957E-3,6.108647794E-4,5.533723471E-3
5.022915210E-1,1.527161949E-4,9.162971750E-3,-6.108647794E-4,9.184581063E-3
5.044468340E-1,2.596175298E-3,9.162971750E-3,-6.108647794E-4,9.543234947E-3
5.066020940E-1,1.527161949E-4,7.941242307E-3,6.108647794E-4,7.966166418E-3
5.087573550E-1,1.527161949E-4,6.719512399E-3,-6.108647794E-4,6.748949911E-3
5.109126150E-1,1.374445739E-3,6.719512399E-3,6.108647794E-4,6.885789988E-3
5.130678750E-1,1.527161949E-4,9.162971750E-3,-6.108647794E-4,9.184581063E-3
5.152231880E-1,-1.069013379E-3,3.054323839E-3,6.108647794E-4,3.293150391E-3
5.173784480E-1,-1.069013379E-3,4.276053514E-3,-6.108647794E-4,4.449784157E-3
5.195337090E-1,-1.069013379E-3,-6.108647794E-4,-6.108647794E-4,1.374445765E-3
5.216889690E-1,-2.290742937E-3,-1.832594397E-3,6.108647794E-4,2.996508169E-3
5.238442820E-1,-3.512472380E-3,3.054323839E-3,6.108647794E-4,4.694625876E-3
5.259995420E-1,-2.290742937E-3,5.497782957E-3,-6.108647794E-4,5.987175997E-3
5.281548020E-1,-2.290742937E-3,-6.108647794E-4,-6.108647794E-4,2.448226861E-3
5.303100630E-1,-1.069013379E-3,6.108647794E-4,-6.108647794E-4,1.374445765E-3
5.324653750E-1,1.527161949E-4,5.497782957E-3,-1.832594397E-3,5.797183963E-3
5.346206360E-1,1.374445739E-3,6.719512399E-3,6.108647794E-4,6.885789988E-3
5.367758960E-1,1.374445739E-3,4.276053514E-3,-6.108647794E-4,4.532867804E-3
5.389312090E-1,1.374445739E-3,3.054323839E-3,6.108647794E-4,3.404577945E-3
5.410864690E-1,3.817904973E-3,7.941242307E-3,-6.108647794E-4,8.832490224E-3
5.432417300E-1,2.596175298E-3,6.719512399E-3,6.108647794E-4,7.229462555E-3
5.453969900E-1,2.596175298E-3,7.941242307E-3,6.108647794E-4,8.377148163E-3
5.475522500E-1,1.374445739E-3,7.941242307E-3,-6.108647794E-4,8.082424528E-3
5.497075630E-1,1.527161949E-4,5.497782957E-3,6.108647794E-4,5.533723471E-3
5.518628230E-1,1.374445739E-3,3.054323839E-3,-6.108647794E-4,3.404577945E-3
5.540180840E-1,-1.069013379E-3,1.832594397E-3,-6.108647794E-4,2.207792473E-3
5.561733960E-1,-1.069013379E-3,3.054323839E-3,1.832594397E-3,3.718882351E-3
5.583286570E-1,-1.069013379E-3,6.108647794E-4,-6.108647794E-4,1.374445765E-3
5.604839170E-1,1.527161949E-4,4.276053514E-3,-6.108647794E-4,4.322165160E-3
5.626391770E-1,-2.290742937E-3,-1.832594397E-3,6.108647794E-4,2.996508169E-3
5.647944380E-1,1.527161949E-4,6.108647794E-4,-1.832594397E-3,1.937751335E-3
5.669496980E-1,-1.069013379E-3,1.832594397E-3,-6.108647794E-4,2.207792473E-3
5.691049590E-1,1.374445739E-3,6.108647794E-4,-6.108647794E-4,1.623395407E-3
5.712602710E-1,1.527161949E-4,1.832594397E-3,1.832594397E-3,2.596175395E-3
5.734155320E-1,2.596175298E-3,1.832594397E-3,-6.108647794E-4,3.235998174E-3
5.755707920E-1,-1.069013379E-3,1.832594397E-3,-6.108647794E-4,2.207792473E-3
5.777260520E-1,-1.069013379E-3,3.054323839E-3,6.108647794E-4,3.293150391E-3
5.798813130E-1,1.527161949E-4,4.276053514E-3,-6.108647794E-4,4.322165160E-3
5.820366250E-1,2.596175298E-3,5.497782957E-3,-6.108647794E-4,6.110556390E-3
5.841918860E-1,1.374445739E-3,4.276053514E-3,-6.108647794E-4,4.532867804E-3
5.863471460E-1,1.374445739E-3,1.832594397E-3,-6.108647794E-4,2.370792925E-3
5.885024590E-1,-1.069013379E-3,1.832594397E-3,6.108647794E-4,2.207792473E-3
5.906577190E-1,-1.069013379E-3,4.276053514E-3,1.832594397E-3,4.773450061E-3
5.928129800E-1,1.527161949E-4,6.719512399E-3,6.108647794E-4,6.748949911E-3
5.949682400E-1,1.374445739E-3,1.832594397E-3,-6.108647794E-4,2.370792925E-3
5.971235000E-1,-4.734201822E-3,-1.832594397E-3,6.108647794E-4,5.113142370E-3
5.992787610E-1,-2.290742937E-3,-6.108647794E-4,-6.108647794E-4,2.448226861E-3
6.014340730E-1,-1.069013379E-3,1.832594397E-3,6.108647794E-4,2.207792473E-3
6.035893340E-1,1.527161949E-4,3.054323839E-3,1.832594397E-3,3.565195447E-3
6.057445940E-1,-1.069013379E-3,-3.054323839E-3,6.108647794E-4,3.293150391E-3
6.078999070E-1,1.527161949E-4,1.832594397E-3,6.108647794E-4,1.937751335E-3
6.100551670E-1,1.527161949E-4,1.832594397E-3,-6.108647794E-4,1.937751335E-3
6.122104270E-1,1.374445739E-3,5.497782957E-3,-6.108647794E-4,5.699813533E-3
6.143656880E-1,1.374445739E-3,6.108647794E-4,-6.108647794E-4,1.623395407E-3
6.165210000E-1,-1.069013379E-3,5.497782957E-3,6.108647794E-4,5.633965107E-3
6.186762610E-1,1.527161949E-4,5.497782957E-3,-6.108647794E-4,5.533723471E-3
6.208315210E-1,1.374445739E-3,7.941242307E-3,-6.108647794E-4,8.082424528E-3
6.229867820E-1,1.374445739E-3,6.719512399E-3,6.108647794E-4,6.885789988E-3
6.251420940E-1,1.527161949E-4,3.054323839E-3,-6.108647794E-4,3.118552890E-3
6.272973550E-1,1.374445739E-3,1.832594397E-3,-6.108647794E-4,2.370792925E-3
6.294526150E-1,-2.290742937E-3,-6.108647794E-4,6.108647794E-4,2.448226861E-3
6.316078750E-1,1.527161949E-4,4.276053514E-3,-1.832594397E-3,4.654713537E-3
6.337631360E-1,-1.069013379E-3,6.108647794E-4,-1.832594397E-3,2.207792473E-3
6.359184480E-1,-2.290742937E-3,6.108647794E-4,-6.108647794E-4,2.448226861E-3
6.380737090E-1,-1.069013379E-3,-1.832594397E-3,-6.108647794E-4,2.207792473E-3
6.402289690E-1,1.527161949E-4,-6.108647794E-4,6.108647794E-4,8.772877485E-4
6.423842300E-1,1.527161949E-4,1.832594397E-3,-6.108647794E-4,1.937751335E-3
6.445394900E-1,-1.069013379E-3,-1.832594397E-3,-6.108647794E-4,2.207792473E-3
6.466948020E-1,1.527161949E-4,-6.108647794E-4,6.108647794E-4,8.772877485E-4
6.488500630E-1,1.527161949E-4,1.832594397E-3,6.108647794E-4,1.937751335E-3
6.510053230E-1,-1.069013379E-3,1.832594397E-3,6.108647794E-4,2.207792473E-3
6.531605840E-1,2.596175298E-3,6.719512399E-3,6.108647794E-4,7.229462555E-3
6.553158960E-1,-1.069013379E-3,-1.832594397E-3,-6.108647794E-4,2.207792473E-3
6.574711570E-1,1.374445739E-3,3.054323839E-3,-6.108647794E-4,3.404577945E-3
6.596264170E-1,2.596175298E-3,5.497782957E-3,-6.108647794E-4,6.110556390E-3
6.617816770E-1,1.374445739E-3,-6.108647794E-4,-6.108647794E-4,1.623395407E-3
